Name,Current_Date,Current_Quarter,Variable,Q0,Q1,Q2,Q3,Q4,Y0,Y1,Y2,Y3,Y4
Bill Diviney,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.1,2.9,2.7,2.6,2.6,3.2,2.8,2.7,2.6,2.5
Joel Prakken,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.1,3.0,2.9,2.8,2.7,3.4,2.9,2.5,2.3,2.2
Yinuo Zhang,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.5,3.6,3.4,3.3,3.2,3.4,3.3,3.1,3.0,2.9
Maira Trimble,Oct 17 2024,2024 Q4,CPI Inflation Rate,4.2,3.9,3.7,3.5,3.3,4.6,3.6,3.2,3.1,3.0
Jan Hatzius,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.4,3.1,2.8,2.6,2.4,3.6,2.9,2.5,2.3,2.2
Brendon Ogmundson,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,2.8,2.7,2.5,2.4,3.5,2.6,2.4,2.3,2.2
Ryan Sweet,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.4,3.5,2.6,2.5,2.4,2.3
Scott Anderson,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,2.9,2.7,2.6,3.6,2.8,2.5,2.4,2.3
Sacha Gelfer,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.5,2.4,3.5,2.6,2.4,2.3,2.3
"Gary L. Ciminero, CFA",Oct 17 2024,2024 Q4,CPI Inflation Rate,2.3,2.2,2.4,2.5,2.6,3.0,2.5,2.6,2.5,2.4
Chris Varvares,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.9,2.8,2.7,3.5,2.9,2.6,2.5,2.4
Joel L. Naroff,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.5,3.4,2.8,2.6,2.5,2.4
Michael Roberts,Oct 17 2024,2024 Q4,CPI Inflation Rate,0.7,0.6,0.6,0.5,0.5,3.4,2.6,2.4,2.3,2.3
"Perc Pineda, Ph.D.",Oct 17 2024,2024 Q4,CPI Inflation Rate,2.8,2.6,2.5,2.5,2.4,3.2,2.5,2.3,2.2,2.2
Michael R. Englund,Oct 17 2024,2024 Q4,CPI Inflation Rate,2.7,2.5,2.3,2.4,2.6,3.2,2.5,2.4,2.4,2.5
Robert McNab,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,3.0,2.8,2.7,2.6,3.4,2.9,2.6,2.5,2.5
Ed Al-Hussainy,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,2.9,2.7,2.6,2.5,3.4,2.8,2.6,2.5,2.3
Steve Kihm,Oct 17 2024,2024 Q4,CPI Inflation Rate,2.9,3.0,2.8,2.6,2.5,3.3,2.8,2.6,2.4,2.3
Philip Rothman,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,3.4,3.5,3.3,3.1,3.8,3.4,3.2,3.0,2.8
Jay Bryson,Oct 17 2024,2024 Q4,CPI Inflation Rate,3.2,3.1,3.0,2.9,2.8,3.5,3.0,2.7,2.5,2.4
Shan Ahmed,Oct 17 2024,2024 Q4,CPI Inflation Rate,2.8,2.7,2.6,2.5,2.5,3.4,2.6,2.5,2.4,2.4
Peter Bernstein,Oct 17 2024,2024 Q4,CPI Inflation Rate,2.9,2.7,2.6,2.5,2.5,3.2,2.6,2.4,2.3,2.3
